epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,15.1613,4.46911,18.7868,3.20171,0,0,0,0,4.06054,15.9123,2.52423,0.00194872,0.000649573,0.00194872,0.000649573,0.00194872,0.000649573,0.00194872,0.000649573
2,29.3843,4.26471,18.4904,3.24183,0,0,0,0,4.0613,15.9032,2.53984,0.00388858,0.00129619,0.00388858,0.00129619,0.00388858,0.00129619,0.00388858,0.00129619
3,43.4156,4.36889,18.2254,3.06018,0,0,0,0,4.06183,15.6719,2.54876,0.00576751,0.0019225,0.00576751,0.0019225,0.00576751,0.0019225,0.00576751,0.0019225
4,57.1937,4.79667,15.7144,3.5975,0,0,0,0,4.0604,14.7826,2.5523,0.00572585,0.00190862,0.00572585,0.00190862,0.00572585,0.00190862,0.00572585,0.00190862
5,71.2997,4.58906,15.24,3.30057,0,0,0,0,4.04323,14.134,2.51029,0.00563446,0.00187815,0.00563446,0.00187815,0.00563446,0.00187815,0.00563446,0.00187815
6,85.0916,4.9188,14.2958,3.52255,0.00014,0.02564,7e-05,1e-05,3.68597,12.7178,2.71591,0.00554308,0.00184769,0.00554308,0.00184769,0.00554308,0.00184769,0.00554308,0.00184769
7,99.0598,5.10002,12.9026,3.46394,0.00064,0.12821,0.00037,6e-05,4.87043,11.5165,3.67302,0.00545169,0.00181723,0.00545169,0.00181723,0.00545169,0.00181723,0.00545169,0.00181723
8,113.24,5.0734,11.7498,3.59924,0.00155,0.35897,0.01094,0.00164,4.60678,7.93859,3.77314,0.00536031,0.00178677,0.00536031,0.00178677,0.00536031,0.00178677,0.00536031,0.00178677
9,127.045,4.9345,9.77779,3.85926,0.24843,0.07692,0.06383,0.0171,4.31502,6.46682,3.80357,0.00526892,0.00175631,0.00526892,0.00175631,0.00526892,0.00175631,0.00526892,0.00175631
10,141.132,4.85246,8.17688,3.84787,0.07854,0.02564,0.03702,0.00754,4.04047,5.36519,3.81821,0.00517754,0.00172585,0.00517754,0.00172585,0.00517754,0.00172585,0.00517754,0.00172585
11,155.427,4.63421,7.50543,3.61539,0.03749,0.17949,0.01736,0.00472,3.8322,4.86372,3.7356,0.00508615,0.00169538,0.00508615,0.00169538,0.00508615,0.00169538,0.00508615,0.00169538
12,169.307,4.42668,6.34983,3.48155,0.04894,0.07692,0.02273,0.00433,3.75321,4.6243,3.63844,0.00499477,0.00166492,0.00499477,0.00166492,0.00499477,0.00166492,0.00499477,0.00166492
13,183.372,4.17761,5.45104,3.28454,0.0467,0.12821,0.02113,0.00377,3.8312,4.29974,3.49029,0.00490338,0.00163446,0.00490338,0.00163446,0.00490338,0.00163446,0.00490338,0.00163446
14,197.291,4.18611,5.17571,3.26723,0.04325,0.17949,0.02312,0.00432,3.78988,4.19027,3.42321,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604,0.004812,0.001604
15,211.309,3.92019,4.59103,3.32974,0.04968,0.15385,0.03048,0.00633,3.6226,3.84618,3.34008,0.00472062,0.00157354,0.00472062,0.00157354,0.00472062,0.00157354,0.00472062,0.00157354
16,225.095,3.83239,4.46284,3.05446,0.0523,0.15385,0.03386,0.0061,3.6586,3.66808,3.27032,0.00462923,0.00154308,0.00462923,0.00154308,0.00462923,0.00154308,0.00462923,0.00154308
17,239.038,3.77807,4.01365,3.03758,0.096,0.23077,0.05057,0.01147,3.60106,3.51873,3.10298,0.00453785,0.00151262,0.00453785,0.00151262,0.00453785,0.00151262,0.00453785,0.00151262
18,253.067,3.69698,3.97199,2.97572,0.19433,0.20513,0.08227,0.01686,3.57396,3.36653,3.03908,0.00444646,0.00148215,0.00444646,0.00148215,0.00444646,0.00148215,0.00444646,0.00148215
19,266.868,3.62597,3.90834,2.81947,0.15577,0.15385,0.10525,0.0189,3.53657,3.29421,3.05272,0.00435508,0.00145169,0.00435508,0.00145169,0.00435508,0.00145169,0.00435508,0.00145169
20,280.795,3.60216,3.72274,2.68258,0.26295,0.23077,0.14071,0.02866,3.50638,3.10571,2.80601,0.00426369,0.00142123,0.00426369,0.00142123,0.00426369,0.00142123,0.00426369,0.00142123
21,294.623,3.60475,3.89395,2.63551,0.23222,0.25641,0.16214,0.03273,3.49679,3.11249,2.69188,0.00417231,0.00139077,0.00417231,0.00139077,0.00417231,0.00139077,0.00417231,0.00139077
22,308.935,3.47693,3.47045,2.4456,0.18096,0.33333,0.15462,0.05259,3.29721,3.01177,2.40317,0.00408092,0.00136031,0.00408092,0.00136031,0.00408092,0.00136031,0.00408092,0.00136031
23,323.037,3.56166,3.43861,2.26475,0.18135,0.33333,0.17005,0.06195,3.3008,3.01876,2.35561,0.00398954,0.00132985,0.00398954,0.00132985,0.00398954,0.00132985,0.00398954,0.00132985
24,337.16,3.38667,3.21602,2.24235,0.21421,0.48718,0.20985,0.06258,3.21033,2.7503,2.25984,0.00389815,0.00129938,0.00389815,0.00129938,0.00389815,0.00129938,0.00389815,0.00129938
25,350.874,3.36258,3.24604,2.31726,0.27505,0.3892,0.23694,0.07317,3.07036,2.68675,2.20743,0.00380677,0.00126892,0.00380677,0.00126892,0.00380677,0.00126892,0.00380677,0.00126892
26,364.659,3.11719,2.93075,2.11561,0.28983,0.46154,0.28738,0.08885,2.90096,2.57617,2.13984,0.00371538,0.00123846,0.00371538,0.00123846,0.00371538,0.00123846,0.00371538,0.00123846
27,381.144,3.08455,2.95656,2.02373,0.29327,0.48718,0.32304,0.12797,2.74025,2.47417,2.09476,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208,0.003624,0.001208
28,395.907,3.14605,2.85492,2.16478,0.36053,0.61538,0.39575,0.1494,2.58798,2.47259,2.09484,0.00353262,0.00117754,0.00353262,0.00117754,0.00353262,0.00117754,0.00353262,0.00117754
29,410.432,3.09696,2.77577,2.09554,0.33519,0.53846,0.36657,0.14429,2.56988,2.44463,2.04116,0.00344123,0.00114708,0.00344123,0.00114708,0.00344123,0.00114708,0.00344123,0.00114708
30,424.463,2.91593,2.64333,2.02766,0.31259,0.51282,0.37437,0.15541,2.48468,2.4451,1.98097,0.00334985,0.00111662,0.00334985,0.00111662,0.00334985,0.00111662,0.00334985,0.00111662
31,439.114,2.87026,2.73346,1.92388,0.42,0.53846,0.42586,0.18504,2.37608,2.34173,1.9429,0.00325846,0.00108615,0.00325846,0.00108615,0.00325846,0.00108615,0.00325846,0.00108615
