epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,5.60153,5.14641,16.1404,4.93512,0,0,0,0,5.47743,8.44665,4.1595,0.00018,0.00018,0.00018
2,8.85004,4.38576,11.208,4.48431,0,0,0,0,5.4902,8.49003,4.16738,0.000375298,0.000375298,0.000375298
3,11.6003,4.1217,8.78119,3.99854,0,0,0,0,5.5119,8.57685,4.19141,0.000565645,0.000565645,0.000565645
4,14.4684,3.60509,6.65696,3.64425,0,0,0,0,5.55682,8.15649,4.25073,0.000751043,0.000751043,0.000751043
5,17.2065,3.41996,5.50564,3.19217,0,0,0,0,5.63035,5.83656,4.3715,0.00093149,0.00093149,0.00093149
6,19.8789,3.27546,4.88865,2.94523,0,0,0,0,5.68945,5.18916,4.48543,0.00110699,0.00110699,0.00110699
7,22.4375,3.1442,4.34344,2.74041,0,0,0,0,5.7125,5.82926,4.53629,0.00127753,0.00127753,0.00127753
8,25.1176,2.68838,3.87063,2.67579,0,0,0,0,5.72936,5.76532,4.54209,0.00144313,0.00144313,0.00144313
9,28.3202,2.62371,3.64344,2.51963,0,0,0,0,5.75859,5.86504,4.59188,0.00160378,0.00160378,0.00160378
10,31.5399,2.68985,3.45323,2.56956,0,0,0,0,5.81035,6.06668,4.6823,0.00175948,0.00175948,0.00175948
11,34.6164,2.33279,2.93975,2.35774,0,0,0,0,5.84317,5.4229,4.73786,0.0017525,0.0017525,0.0017525
12,38.179,2.3826,2.56367,2.31295,0,0,0,0,5.82565,5.36545,4.65501,0.00172775,0.00172775,0.00172775
13,41.9626,2.29475,2.65808,2.25582,0.00134,0.23077,0.00082,0.00039,3.73578,4.63644,3.59819,0.001703,0.001703,0.001703
14,45.7798,2.11313,2.27957,2.15117,0.87387,0.3555,0.51938,0.26092,1.90959,2.47119,2.50769,0.00167825,0.00167825,0.00167825
15,49.5713,2.13319,2.31924,2.17091,0.68458,0.71795,0.68624,0.28122,1.82278,2.23667,2.33721,0.0016535,0.0016535,0.0016535
16,53.4158,1.91604,2.05323,1.95455,0.82339,0.95648,0.91727,0.50951,1.64757,1.37652,2.04962,0.00162875,0.00162875,0.00162875
17,57.2063,1.98617,1.91783,1.94211,0.85278,0.89131,0.94767,0.4595,1.76095,1.79776,2.09167,0.001604,0.001604,0.001604
18,60.9208,1.96078,1.98155,2.00628,0.73268,0.70293,0.81644,0.33815,2.13404,1.55631,2.21939,0.00157925,0.00157925,0.00157925
19,64.6601,2.11173,1.93056,1.99746,0.85229,0.87179,0.93431,0.56122,1.54021,1.34038,1.92422,0.0015545,0.0015545,0.0015545
20,68.4081,1.87457,1.72124,1.8367,0.88731,0.89744,0.95012,0.45866,1.74592,1.45774,2.00419,0.00152975,0.00152975,0.00152975
21,71.7915,1.79019,1.61356,1.80129,0.94372,0.94872,0.96783,0.57675,1.48175,1.28023,1.79633,0.001505,0.001505,0.001505
22,74.8625,1.76877,1.60479,1.81237,0.97536,0.94872,0.9928,0.58811,1.41464,1.35005,1.79264,0.00148025,0.00148025,0.00148025
23,78.7167,1.84342,1.58018,1.757,0.882,0.92308,0.97961,0.4217,2.05579,1.41773,2.12441,0.0014555,0.0014555,0.0014555
24,81.4878,1.80436,1.49574,1.82852,0.74544,0.71795,0.8638,0.45865,1.57666,2.41961,1.88482,0.00143075,0.00143075,0.00143075
25,84.1995,1.61085,1.49765,1.70088,0.94206,0.92308,0.97062,0.6132,1.32546,1.68052,1.66351,0.001406,0.001406,0.001406
26,86.9814,1.56432,1.48032,1.66762,0.97153,0.92308,0.98411,0.58825,1.43093,1.26127,1.68386,0.00138125,0.00138125,0.00138125
27,90.1295,1.47622,1.33793,1.64978,0.7429,0.97436,0.93612,0.59418,1.37114,1.4241,1.68597,0.0013565,0.0013565,0.0013565
28,93.3954,1.52963,1.31492,1.64051,0.9748,0.99218,0.9945,0.58623,1.42784,1.16453,1.69636,0.00133175,0.00133175,0.00133175
29,97.2353,1.46476,1.29219,1.56216,0.98777,0.97436,0.9945,0.57715,1.37281,1.10868,1.63941,0.001307,0.001307,0.001307
30,100.256,1.47904,1.18581,1.51642,0.92455,0.94277,0.97788,0.62128,1.37536,1.19509,1.58375,0.00128225,0.00128225,0.00128225
31,103.178,1.43581,1.16706,1.52257,0.95113,0.99813,0.98591,0.55291,1.41379,1.12519,1.66387,0.0012575,0.0012575,0.0012575
32,106.131,1.39126,1.16454,1.52754,0.99065,0.97436,0.99402,0.61934,1.2929,1.17887,1.54326,0.00123275,0.00123275,0.00123275
33,109.112,1.35265,1.06653,1.45259,0.99368,0.97436,0.9945,0.62851,1.34801,1.02734,1.53591,0.001208,0.001208,0.001208
34,113.031,1.39934,1.09147,1.50912,0.99855,1,0.995,0.59981,1.27642,0.86624,1.47464,0.00118325,0.00118325,0.00118325
