epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,6.12061,5.71553,25.9654,4.94498,0,0,0,0,6.11872,11.6286,4.16187,0.00018,0.00018,0.00018
2,9.52383,4.97528,17.6174,4.40655,0,0,0,0,6.128,11.7221,4.17428,0.000375298,0.000375298,0.000375298
3,12.4791,4.35631,12.0145,3.79984,0,0,0,0,6.14585,11.9048,4.21366,0.000565645,0.000565645,0.000565645
4,15.4934,3.65352,7.7966,3.42857,0,0,0,0,6.18088,11.2649,4.30846,0.000751043,0.000751043,0.000751043
5,18.4927,3.54034,6.50815,3.01264,0,0,0,0,6.23706,7.45446,4.46951,0.00093149,0.00093149,0.00093149
6,21.1947,3.23657,5.66696,2.78347,0,0,0,0,6.28239,6.06955,4.64572,0.00110699,0.00110699,0.00110699
7,24.216,3.15854,4.74103,2.54578,0,0,0,0,6.30388,6.04544,4.74942,0.00127753,0.00127753,0.00127753
8,26.855,2.79979,4.42866,2.46597,0,0,0,0,6.311,6.07317,4.78827,0.00144313,0.00144313,0.00144313
9,29.4343,2.70384,4.13111,2.38352,0,0,0,0,6.32289,6.09096,4.81783,0.00160378,0.00160378,0.00160378
10,32.0203,2.77373,3.8634,2.3412,0,0,0,0,6.32297,6.09634,4.78042,0.00175948,0.00175948,0.00175948
11,34.489,2.4536,3.2727,2.14064,0,0,0,0,6.3265,6.12707,4.77807,0.0017525,0.0017525,0.0017525
12,37.0529,2.46248,3.01438,2.10225,0.00042,0.07692,0.00024,9e-05,5.4149,5.81178,4.26336,0.00172775,0.00172775,0.00172775
13,39.6575,2.34089,2.93071,2.05254,0.00103,0.30769,0.04087,0.00961,3.44672,4.38237,3.14193,0.001703,0.001703,0.001703
14,42.184,2.19684,2.59325,2.00091,0.67477,0.05377,0.2593,0.0989,2.35829,3.25164,2.40386,0.00167825,0.00167825,0.00167825
15,44.6948,2.025,2.52325,1.92456,0.70139,0.23077,0.54649,0.23699,2.1069,2.90043,2.22072,0.0016535,0.0016535,0.0016535
16,47.2637,2.04175,2.39166,1.83729,0.77053,0.43068,0.67606,0.27947,1.98392,2.56749,2.18805,0.00162875,0.00162875,0.00162875
17,49.786,2.01477,2.21819,1.80451,0.83143,0.87179,0.90967,0.45006,1.89046,1.54208,1.9598,0.001604,0.001604,0.001604
18,52.3523,1.85202,2.17082,1.82342,0.91241,0.87179,0.97526,0.37562,2.04993,1.61487,1.99805,0.00157925,0.00157925,0.00157925
19,54.8453,1.83966,1.87486,1.76108,0.87396,0.92308,0.97052,0.50003,1.74895,1.5193,1.95443,0.0015545,0.0015545,0.0015545
